Text,Translation,Tag
"pavement, sidewalk",πεζοδρόμιο,Transportation
"steering wheel, wheel",τιμόνι,Transportation
"drive, (I) drive, (I am/I'm) driving",οδηγώ,Transportation
"ticket office, booking office, ticket booth",εκδοτήριο,Transportation
vehicle,όχημα,Transportation
"car, automobile",αμάξι,Transportation
"ticket, fare",εισιτήριο,Transportation
international,διεθνής,Transportation
"traffic light, headlight, lantern",φανάρι,Transportation
"gas, fuel, petrol",βενζίνη,Transportation
"traffic, move",κίνηση,Transportation
"tolls, toll, tollbooths",διόδια,Transportation
adventure,περιπέτεια,Transportation
"helmet, a helmet",κράνος,Transportation
"rank, attitude, stop",στάση,Transportation
helicopter,ελικόπτερο,Transportation
"submarine, a submarine",υποβρύχιο,Transportation
"air hostess, flight attendant, stewardess",αεροσυνοδός,Transportation
passenger,επιβάτης,Transportation
subway,μετρό,Transportation
tourist,τουρίστας,Transportation
"passport, a passport, have a passport",διαβατήριο,Transportation
"map, ο χάρτης",χάρτης,Transportation
"airplane, plane",αεροπλάνο,Transportation
departure,αναχώρηση,Transportation
bridge,γέφυρα,Transportation
flight,πτήση,Transportation
"luggage, baggage, luggages",αποσκευές,Transportation
"truck, van, lorry",φορτηγό,Transportation
ship,πλοίο,Transportation
"combustible, fuel",καύσιμο,Transportation
boat,βάρκα,Transportation
"bus, shuttle",λεωφορείο,Transportation
"car, in the car, automobile",αυτοκίνητο,Transportation
"journey, trip, voyage",ταξίδι,Transportation
"bike, bicycle, bikes",ποδήλατο,Transportation
suitcase,βαλίτσα,Transportation
"I travel, I am travelling, travel",ταξιδεύω,Transportation
train,τραίνο,Transportation
"(I) love, love",αγαπώ,Verbs in Present
forgetting,ξεχνάω,Verbs in Present
"waited, I am waiting, I wait",περιμένω,Verbs in Present
"worrying, worry, concerned",ανησυχώ,Verbs in Present
understand,καταλαβαίνω,Verbs in Present
"I know, know, known",γνωρίζω,Verbs in Present
"I wash, washing",πλένω,Verbs in Present
"win, earning",κερδίζω,Verbs in Present
catching,πιάνω,Verbs in Present
"meet, I meet",συναντώ,Verbs in Present
comb,χτενίζω,Verbs in Present
"fill, I fill",γεμίζω,Verbs in Present
"it hurts, pain, I am in pain",πονάω,Verbs in Present
"pass, go through",περνώ,Verbs in Present
go up,ανεβαίνω,Verbs in Present
"spend (money), spend, I spend money",ξοδεύω,Verbs in Present
"keep on, continue, go on",συνεχίζω,Verbs in Present
keeping,κρατάω,Verbs in Present
"support, rooting",υποστηρίζω,Verbs in Present
go down,κατεβαίνω,Verbs in Present
replying,απαντώ,Verbs in Present
recognise,αναγνωρίζω,Verbs in Present
"cut, I cut",κόβω,Verbs in Present
"I sell, sell, I am selling",πουλάω,Verbs in Present
"I am trying, I am trying to, I try",προσπαθώ,Verbs in Present
ordering,παραγγέλνω,Verbs in Present
"start, I am beginning, I am starting",ξεκινώ,Verbs in Present
"so-and-so, such and such",τάδε,Verbs in Present
"help, assist",βοηθάω,Verbs in Present
"finish, I finish",τελειώνω,Verbs in Present
"live, I live, i've",ζω,Verbs in Present
"not, don't, do not",μην,Verbs in Present
"must, you must, must I be",πρέπει,Verbs in Present
"wipe, dry, I am drying",στεγνώνω,Verbs in Present
"happens, (is) going on, (is) happening",συμβαίνει,Verbs in Present
"I improve, i make better",βελτιώνω,Verbs in Present
deserve,αξίζω,Verbs in Present
"I leave, I'm leaving",φεύγω,Verbs in Present
"fly, I am flying",πετάω,Verbs in Present
"(I) sign, (I am) signing, sign",υπογράφω,Verbs in Present
"care, care about",νοιάζει,Verbs in Present
"follow, (I) follow, I follow",ακολουθώ,Verbs in Present
"believe, I believe",πιστεύω,Verbs in Present
fail,αποτυγχάνω,Verbs in Present
"lose, miss, I lose",χάνω,Verbs in Present
"(I am) bringing up, (I am) raising, (I) raise",ανατρέφω,Verbs in Present
babysit,προσέχω,Verbs in Present
"go in, get in, I walk into",μπαίνω,Verbs in Present
"I'm looking for, I look, I am looking for",ψάχνω,Verbs in Present
stop,σταματάω,Verbs in Present
"allow, I allow",επιτρέπω,Verbs in Present
"receive, collect",παραλαμβάνω,Verbs in Present
"(I am) hoping, I hope, hope for",ελπίζω,Verbs in Present
"am closing, shut, close",κλείνω,Verbs in Present
doubt,αμφιβάλλω,Verbs in Present
"I go out, snuck",βγαίνω,Verbs in Present
"ask, I ask",ρωτάω,Verbs in Present
"(I) present, present, (I am) presenting",παρουσιάζω,Verbs in Present
"feel, I am feeling, I feel",νιώθω,Verbs in Present
"get injured, knocking, get hit",χτυπάω,Verbs in Present
"I am offering, offer",προσφέρω,Verbs in Present
"I study, I am studying, study",μελετώ,Verbs in Present
"(I) look, (I) look (at), (I am) looking",κοιτάζω,Verbs in Present
lift,σηκώνω,Verbs in Present
"(I) include, (I) am including",συμπεριλαμβάνω,Verbs in Present
"I belong, I am a member",ανήκω,Verbs in Present
"tasting, taste, (I am) trying",δοκιμάζω,Verbs in Present
"mean, means, what is the meaning of",σημαίνει,Verbs in Present
"summon, (I am) calling, (I) call",καλώ,Verbs in Present
"I save, I am saving, save",σώζω,Verbs in Present
"think, I think",νομίζω,Verbs in Present
"I change, change, I'm changing",αλλάζω,Verbs in Present
"send, I send",στέλνω,Verbs in Present
"open, opening, I open",ανοίγω,Verbs in Present
"return, I am returning",επιστρέφω,Verbs in Present
"mean, I mean",εννοώ,Verbs in Present
"(I am) cleaning, (I) clean, I'm not cleaning",καθαρίζω,Verbs in Present
win,νικάω,Verbs in Present
like,αρέσω,Verbs in Present
"(I) design, draw, sketch",σχεδιάζω,Verbs in Present
"show, I show",δείχνω,Verbs in Present
"take, taking, get",παίρνω,Verbs in Present
"fall, dropping, falling",πέφτω,Verbs in Present
"make, I make, I do",κάνω,Verbs in Present
"find, I am finding, (I) find",βρίσκω,Verbs in Present
"put, I am putting, I am setting",βάζω,Verbs in Present
"(I am) making, I make, make",φτιάχνω,Verbs in Present
"listens to, is listening to, has been listening to",ακούει,Verbs in Present
"I am working, am I working, do I work",δουλεύω,Verbs in Present
"fetch, I bring, bring",φέρνω,Verbs in Present
"I listen, hear, (I) listen (to)",ακούω,Verbs in Present
"am telling, (I) say, tell",λέω,Verbs in Present
"help, assist, aid",βοηθώ,Verbs in Present
"I am using, (I) use",χρησιμοποιώ,Verbs in Present
"plays, is playing, performs",παίζει,Verbs in Present
"forbid, prohibit, I prohibit this",απαγορεύω,Verbs in Present
"I have known, I know, know",ξέρω,Verbs in Present
touch,αγγίζω,Verbs in Present
"I dance, dance",χορεύω,Verbs in Present
"takes, does go, is going",πηγαίνει,Verbs in Present
"like, likes, liking",αρέσει,Verbs in Present
"pays for, pays, is paying",πληρώνει,Verbs in Present
play,παίζω,Verbs in Present
"go, I go, I am going",πηγαίνω,Verbs in Present
"I sing, sing, I am singing",τραγουδώ,Verbs in Present
"pay, I am paying, paying",πληρώνω,Verbs in Present
"wants, want, requires",θέλει,Verbs in Present
now,τώρα,Verbs in Present
"I want, I want to, want",θέλω,Verbs in Present
"I leave, I let, I let go of",αφήνω,Verbs in Present
"buying, to buy, I buy",αγοράζω,Verbs in Present
"cook, I am cooking, I cook",μαγειρεύω,Verbs in Present
"I run, run, I am running",τρέχω,Verbs in Present
"run, jogs, is running",τρέχει,Verbs in Present
"walk, to walk, I walk",περπατώ,Verbs in Present
"swim, (I) swim, (I am) swimming",κολυμπώ,Verbs in Present
"(I) write, write, (I am) writing",γράφω,Verbs in Present
"I am, I exist",υπάρχω,Verbs in Present
"I can, can, I am able",μπορώ,Verbs in Present
"I watch, watching, I am watching",βλέπω,Verbs in Present
"giving, (I am) giving, (I) give",δίνω,Verbs in Present
"I love, love, loving",αγαπάω,Verbs in Present
"stay, I'm staying, I reside",μένω,Verbs in Present
"speak, talk, I speak",μιλάω,Verbs in Present
"who, which, what",ποιος,W questions
whose,ποιανού,W questions
"how, how much, how many",πόσα,W questions
"how, what",πώς,W questions
how much,πόσο,W questions
where,πού,W questions
"why, because",γιατί,W questions
when,πότε,W questions
what,τι,W questions
"typhoon, hurricane",τυφώνας,Weather
"prognosis, prediction, forecast",πρόγνωση,Weather
snow,χιόνι,Weather
the greenhouse effect,φαινόμενο του θερμοκηπίου,Weather
"freezing weather, freezing",παγωνιά,Weather
bad weather,κακοκαιρία,Weather
cats and dogs,καρεκλοπόδαρα,Weather
"hail, hailing",χαλάζι,Weather
throw,ρίχνω,Weather
snowstorm,χιονοθύελλα,Weather
climate,κλίμα,Weather
"humidity, damp",υγρασία,Weather
storm,θύελλα,Weather
"thunderstorm, storm",καταιγίδα,Weather
"blowing, blow, blows",φυσάει,Weather
wind,άνεμος,Weather
sunny,ηλιόλουστος,Weather
"wind, air",αέρας,Weather
fog,ομίχλη,Weather
"it's snowing, snows, it has been snowing",χιονίζει,Weather
"heat, hot",ζέστη,Weather
sun,ήλιος,Weather
"weather, time",καιρός,Weather
"rain, it rains, It is raining",βρέχει,Weather
"cloudiness, cloudy",συννεφιά,Weather
cold,κρύο,Weather
"after, since",αφού,Word links
"perhaps, maybe, possibly",ίσως,Word links
then,τότε,Word links
"moreover, too, likewise",επίσης,Word links
"while, however much, as much as",όσο,Word links
"too, also, and",κι,Word links
Maybe,μήπως,Word links
"that is, so, namely",δηλαδή,Word links
"so, Well",λοιπόν,Word links
"as, while",καθώς,Word links
"therefore, and therefore, so",οπότε,Word links
"while, as, even though",ενώ,Word links
"yet, nonetheless, nevertheless",ωστόσο,Word links
"although, though, even though",αν και,Word links
"or, either",ή,Word links
"so, therefore, thus",άρα,Word links
"however, nevertheless, but",όμως,Word links
but,αλλά,Word links
because,επειδή,Word links
when,όταν,Word links
that,πως,Word links
whenever,όποτε,Word links
"that, the",ότι,Word links
